seed	mw	n	co	sa	sun	sna	blk	score
263	41	47	95	93	885	24872	13	15718098
264	26	23	98	63	979	17735	13	6945904
265	27	36	40	20	1261	17114	16	2831440
266	25	36	41	67	1011	17348	12	6770279
267	8	31	14	91	1633	7731	18	2478546
268	38	22	53	16	1038	20697	17	2587246
269	12	21	35	33	1387	8087	11	1660798
270	36	40	53	86	753	28004	14	12577752
271	16	41	25	77	992	11734	8	4867952
272	61	31	73	17	1291	20377	24	5201514
273	14	34	27	59	1295	16315	17	3747414
274	20	35	53	49	675	13242	6	4518226
275	6	27	10	39	1320	8034	10	964994
276	9	21	71	53	1307	3728	4	1794823
277	11	36	19	97	907	16284	10	4272783
278	26	33	89	75	1123	18965	15	9019415
