seed	r	mw	n	co	sa	sna	score
230	45	5	29	21	88	5110	1741223
231	33	13	30	56	62	5913	2948964
232	55	7	35	60	89	2107	1968871
233	9	21	20	92	42	16051	5303148
234	17	16	35	58	86	3998	3732988
235	22	26	24	31	14	13604	1549270
236	13	16	21	87	42	9365	3248772
237	16	11	32	14	24	6331	920650
238	14	19	29	77	88	14106	6254314
239	19	10	28	69	78	5444	3474819
240	20	4	32	23	41	1277	728530
241	18	12	47	25	87	7552	4054976
242	15	32	40	98	82	7331	7039040
243	13	21	34	39	52	14970	4022447
244	13	13	23	46	33	6738	2215140
245	18	45	44	60	17	8393	2383236
246	35	22	44	41	22	4441	1596679
247	18	64	48	62	15	14768	4356485
248	14	28	29	67	47	22296	6039074
249	13	15	41	20	52	11687	3177080
250	71	7	49	32	18	168	310046
251	14	38	49	75	29	7984	3500102
252	9	25	27	34	15	13501	2041930
253	14	33	40	77	33	9320	4705470
254	17	35	43	48	37	16171	5339479
255	22	16	30	67	88	12845	5816352
256	30	10	26	51	38	3976	1734643
257	14	42	44	32	13	12384	2315754
258	13	31	31	48	36	20631	4560360
259	22	16	38	37	72	7529	3783157
260	14	28	35	68	52	12688	5042952
261	22	11	36	18	53	8584	2072398
262	29	16	46	39	68	6816	3498120
263	14	43	47	95	93	24872	13869711
264	9	21	23	98	63	17735	7089474
265	15	37	36	40	20	17114	2749800
266	15	25	36	41	67	17348	6055713
267	32	7	31	14	91	7731	2411332
268	11	33	22	53	16	20697	2614796
269	26	14	21	35	33	8087	1694391
270	12	29	40	53	86	28004	11111610
271	12	15	41	25	77	11734	4458960
272	10	52	31	73	17	20377	4904152
273	19	17	34	27	59	16315	3583898
274	15	23	35	53	49	13242	4124736
275	16	7	27	10	39	8034	963511
276	20	8	21	71	53	3728	1852405
277	20	11	36	19	97	16284	3926109
278	17	28	33	89	75	18965	8861156
279	14	17	43	86	100	6531	6574112
280	14	9	22	66	65	5554	2728861
281	16	10	38	22	59	6088	1846535
282	16	20	46	12	73	40837	5665069
283	19	17	29	41	29	8631	2021178
284	16	35	32	42	11	8167	1535106
285	25	1	25	24	92	208	547820
286	14	42	33	95	38	22296	7279470
287	50	21	39	75	57	5806	3904011
288	22	11	38	36	88	7390	3363736
289	9	16	20	73	89	23323	7406992
290	13	41	30	90	25	17684	4333010
291	10	18	24	53	36	13569	3416384
292	11	43	27	64	14	16583	2914472
293	16	11	26	91	65	4424	2988908
294	15	15	32	17	23	8498	1220810
295	12	11	23	83	93	10181	4853905
296	13	21	24	87	33	10240	3323424
297	19	24	46	91	64	4721	4734779
298	13	30	45	52	75	17180	8215917
299	15	32	35	92	50	15374	6633084
300	15	20	22	89	21	4622	1725195
301	11	39	29	51	14	16686	2496076
302	13	38	32	56	26	18872	4201252
303	22	16	40	61	88	5486	4194800
304	14	17	20	33	23	11822	1569936
305	17	15	22	83	31	4751	2048890
306	18	13	44	43	32	2239	1291779
307	16	12	25	36	19	4271	847727
308	18	13	21	71	64	10351	3622408
309	14	24	42	35	50	15835	4745825
310	13	12	28	42	75	11469	4518774
311	16	34	49	38	34	14288	4334846
312	17	38	46	95	24	5628	3688940
313	16	12	23	70	47	6276	2995444
314	9	16	21	98	44	9131	4004554
315	24	17	40	66	50	4465	2818232
316	13	40	29	84	53	40337	9718287
317	23	15	42	36	100	11140	5186452
318	55	21	31	31	34	10785	2586671
319	15	51	47	59	76	48078	15952197
320	16	76	42	78	15	11381	4083966
321	16	21	30	44	33	12795	3292630
322	18	22	49	26	58	15249	4524462
323	16	38	45	67	76	22653	10600370
324	16	70	44	82	12	12564	3636490
325	20	21	34	48	68	6014	3525464
326	13	11	37	18	49	7995	2599442
327	12	27	37	98	64	11957	6940360
328	16	9	29	30	53	6034	2200381
329	18	23	47	12	20	12186	1541748
330	20	21	49	55	69	6873	4173807
331	11	92	44	94	12	17584	4436850
332	10	15	21	73	29	6192	2004362
333	16	10	49	30	67	3577	2453238
334	14	28	36	47	81	25874	8543769
335	17	62	46	99	36	18070	8213832
336	15	14	42	30	83	10108	4863289
337	12	16	26	88	60	8001	4637892
338	16	53	50	26	10	14155	1877118
339	10	76	32	78	12	29482	4766712
340	17	57	49	89	20	9044	3904603
341	20	15	48	44	98	6962	5248170
342	14	32	29	68	22	13134	3687656
343	18	10	24	37	98	17020	4784198
344	15	16	43	83	68	4220	3730023
345	16	12	39	25	45	5663	1953350
346	15	10	28	25	72	12066	3021208
347	16	29	48	16	29	19195	2961257
348	32	7	22	25	47	8118	1504117
349	14	20	37	61	78	12913	7244264
350	23	12	39	19	26	4094	1286931
351	13	14	35	58	89	8727	5436515
352	12	25	22	97	20	8380	2549325
353	18	23	30	93	30	6342	3006930
354	12	40	41	48	39	24240	6666426
355	18	41	47	92	70	18851	10954900
356	30	25	36	70	25	4428	2350555
357	14	22	38	70	81	9521	6291831
358	20	5	24	69	63	1418	1134531
359	13	13	24	33	51	13912	3338148
360	16	40	50	77	70	19804	10697330
361	14	11	22	84	31	2939	1837098
362	12	23	40	25	34	15402	3023101
363	14	67	44	100	21	16002	5838800
364	15	20	23	75	24	7427	2090631
365	26	4	23	22	62	3997	996720
366	19	22	49	45	69	10207	4711947
367	31	10	23	68	95	9226	4319313
368	12	9	29	19	84	11853	3502119
369	13	28	33	76	31	7544	3375911
370	19	35	50	93	24	4332	3059751
371	14	54	45	90	41	18086	8495360
372	16	20	24	63	24	7261	1882746
